Brand,Battery_capacity(mAh),Screen_size(inches),Processor,RAM(GB),Internal_storage(GB),Operating system,Number of SIMs,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
blackberry,2610,5,8,3,16,android,1,11999,1080.0,1920.0,13,8
asus,3000,6,8,4,32,android,2,5499,1080.0,1920.0,13,8
lenovo,4050,6,8,3,32,android,1,9999,1080.0,1920.0,13,8
yu,4000,6,8,4,32,android,2,4999,1080.0,1920.0,13,5
coolpad,3000,6,8,3,16,android,2,6249,1080.0,1920.0,13,5
leeco,3000,6,8,3,32,android,2,7990,1080.0,1920.0,13,5
vivo,3000,6,8,4,32,android,2,17979,1080.0,1920.0,13,8
oppo,2850,6,8,4,64,android,2,17990,1080.0,1920.0,13,16
infocus,2500,5,4,3,16,android,2,9990,720.0,1280.0,8,8
lenovo,2750,5,8,2,16,android,2,5999,720.0,1280.0,13,5
lenovo,2750,5,8,2,16,android,2,7999,1080.0,1920.0,13,5
xolo,4000,5,4,2,8,android,2,4999,720.0,1280.0,8,5
lg,2300,5,4,2,16,android,1,7990,720.0,1280.0,13,8
coolpad,2500,5,4,3,16,android,2,4999,720.0,1280.0,13,5
lenovo,3300,6,8,3,16,android,2,8990,1080.0,1920.0,13,5
gionee,5020,6,8,3,64,android,2,23900,1080.0,1920.0,13,5
yu,3000,5,8,4,32,cyanogen,2,29999,1440.0,2560.0,21,8
infocus,2600,6,8,2,16,android,2,4990,1080.0,1920.0,13,13
gionee,4000,5,4,3,32,android,2,7499,720.0,1280.0,8,5
gionee,3150,6,8,3,32,android,2,15998,720.0,1280.0,13,5
motorola,2470,5,8,2,16,android,2,16999,720.0,1280.0,13,5
honor,3000,6,8,2,16,android,2,7400,1080.0,1920.0,13,5
coolpad,3000,6,8,3,16,android,2,9499,720.0,1280.0,13,5
htc,2600,6,8,2,16,android,2,6999,720.0,1280.0,13,4
yu,2000,5,4,1,8,android,2,4695,720.0,1280.0,8,2
sony,2900,5,8,3,32,android,2,45999,1080.0,1920.0,23,5
acer,4000,6,8,3,32,android,2,7190,720.0,1280.0,8,8
xiaomi,2200,5,4,2,16,android,2,6999,720.0,1280.0,8,2
asus,5000,6,4,2,16,android,2,4999,720.0,1280.0,13,5
asus,3000,6,4,4,64,android,2,16999,1080.0,1920.0,13,5
gionee,5000,5,4,2,16,android,2,4400,720.0,1280.0,8,5
asus,3000,6,4,2,16,android,2,12999,720.0,1280.0,13,5
motorola,3000,6,6,3,16,android,2,20999,1440.0,2560.0,21,5
infocus,2900,6,4,3,16,android,2,7916,1080.0,1920.0,13,8
xolo,3200,6,8,2,16,android,2,11936,1080.0,1920.0,13,5
phicomm,2300,5,8,2,16,android,2,3238,1080.0,1920.0,13,5
coolpad,2700,5,8,2,16,android,2,4999,1080.0,1920.0,13,8
yu,2230,5,4,2,16,cyanogen,2,8999,720.0,1280.0,8,5
honor,2550,5,8,2,8,android,2,8999,720.0,1280.0,13,5
lenovo,2300,5,4,2,16,android,2,6399,720.0,1280.0,8,2
lenovo,2900,6,8,2,8,android,2,6666,720.0,1280.0,8,5
motorola,2390,5,4,1,8,android,1,4999,540.0,960.0,5,0
htc,2000,5,8,1,8,android,2,9000,540.0,960.0,8,2
lenovo,2300,5,4,1,8,android,2,5000,720.0,1280.0,8,2
asus,3000,6,4,4,64,android,1,15999,1080.0,1920.0,13,5
xiaomi,2200,5,4,1,8,android,2,5399,720.0,1280.0,8,2
lava,4000,5,4,1,8,android,2,4299,720.0,1280.0,10,2
vivo,1900,5,4,0,4,android,2,6539,480.0,854.0,5,2
micromax,2300,5,8,2,16,android,2,13895,720.0,1280.0,13,13
honor,3000,6,4,2,8,android,2,9999,720.0,1280.0,13,5
xolo,2800,6,4,1,8,android,2,6998,720.0,1280.0,8,2
micromax,2000,5,8,1,16,android,2,5490,720.0,1280.0,13,5
micromax,1700,5,4,1,4,android,2,4795,480.0,854.0,5,2
karbonn,1700,5,4,1,4,android,2,2899,480.0,854.0,5,2
spice,1700,5,4,1,4,android,2,7490,480.0,854.0,5,2
micromax,2500,5,8,2,8,android,2,4999,720.0,1280.0,13,5
nokia,2200,5,4,1,16,windows,1,19999,720.0,1280.0,10,0
htc,2600,6,8,2,16,android,2,25999,720.0,1280.0,13,8
samsung,1860,5,8,2,32,android,1,9999,720.0,1280.0,12,2
xolo,1920,5,8,2,16,android,2,5499,720.0,1280.0,8,2
spice,2000,5,4,1,4,android,2,4999,720.0,1280.0,8,2
xiaomi,2000,5,4,1,8,android,2,5999,720.0,1280.0,8,1
honor,3000,5,8,3,16,android,1,14999,1080.0,1920.0,13,5
oppo,2140,5,4,2,16,android,1,9990,720.0,1280.0,13,0
xolo,2000,5,4,1,8,android,1,13667,720.0,1280.0,8,2
motorola,1980,4,2,1,4,android,2,4999,540.0,960.0,5,0
oppo,2410,5,4,1,16,android,2,11735,720.0,1280.0,8,5
xolo,2250,5,4,1,8,android,2,13606,720.0,1280.0,8,2
micromax,2350,5,8,2,32,android,2,5999,1080.0,1920.0,16,8
htc,2600,6,4,1,8,android,2,27390,720.0,1280.0,13,5
nokia,1500,4,2,0,4,cyanogen,2,7999,480.0,800.0,3,0
lenovo,3000,5,4,1,8,android,2,6700,540.0,960.0,8,0
gionee,2300,5,8,2,16,android,1,10999,1080.0,1920.0,13,5
lg,3200,6,4,3,16,android,1,42021,1080.0,1920.0,13,2
xolo,2000,5,4,1,8,android,2,13677,720.0,1280.0,8,2
samsung,3100,6,6,2,16,android,1,11250,720.0,1280.0,8,2
asus,3300,6,2,2,16,android,2,8891,720.0,1280.0,13,2
nokia,1010,3,1,0,0,cyanogen,2,3499,240.0,320.0,5,0
nokia,2000,5,2,2,32,windows,1,10990,768.0,1280.0,41,1
spice,2100,5,4,1,8,android,2,5999,1080.0,1920.0,8,2
gionee,2000,5,4,2,32,android,1,21450,1080.0,1920.0,13,5
micromax,2000,5,4,1,16,android,2,5199,720.0,1280.0,13,5
lava,2000,5,4,1,4,android,2,9499,720.0,1280.0,8,2
blackberry,2180,3,2,2,8,blackberry,1,10800,720.0,720.0,5,2
blackberry,2100,3,1,2,16,blackberry,1,9899,720.0,720.0,8,2
lenovo,4000,5,4,1,4,android,2,15410,720.0,1280.0,8,0
sony,1320,4,2,0,8,android,1,4990,480.0,854.0,5,0
sony,2370,5,2,1,8,android,1,21490,720.0,1280.0,8,0
samsung,1350,3,1,0,0,android,2,5555,240.0,320.0,3,0
samsung,2600,6,2,1,8,android,2,6999,540.0,960.0,8,1
nokia,1300,4,2,0,8,windows,1,4999,480.0,800.0,5,0
nokia,1650,4,2,1,8,windows,1,19660,480.0,800.0,8,0
lg,2100,5,4,2,32,android,1,9999,768.0,1280.0,13,1
htc,1650,4,2,1,16,android,1,17172,540.0,960.0,8,0
blackberry,1800,4,2,2,16,blackberry,1,5500,768.0,1280.0,8,2
infinix,4000,7,8,4,64,android,2,8999,720.0,1600.0,16,16
infinix,4000,7,8,4,64,android,2,8999,720.0,1600.0,16,32
motorola,3000,6,8,4,64,android,2,6999,720.0,1560.0,13,8
tecno,3500,6,4,2,32,android,2,6933,720.0,1520.0,13,16
nokia,3000,6,8,3,32,android,1,7999,720.0,1520.0,13,8
nokia,4000,6,4,2,16,android,1,6690,720.0,1520.0,13,5
samsung,3400,6,8,2,16,android,2,6999,720.0,1520.0,13,5
micromax,4000,6,8,3,32,android,2,6299,720.0,1500.0,13,16
coolpad,4000,6,8,4,64,android,1,7433,1080.0,2160.0,16,8
samsung,3300,6,4,4,64,android,1,11999,720.0,1480.0,13,8
samsung,3300,6,4,2,32,android,1,9499,720.0,1480.0,13,5
samsung,2600,5,4,1,8,android,2,6190,540.0,960.0,8,5
10.or,3200,5,4,2,16,android,2,4999,720.0,1440.0,13,5
coolpad,2500,5,4,2,16,android,1,3900,720.0,1440.0,8,5
infinix,3050,5,4,2,16,android,2,3999,720.0,1440.0,13,8
infinix,4000,6,4,3,32,android,2,8999,720.0,1440.0,13,5
ivoomi,4000,5,4,2,16,android,2,4999,720.0,1440.0,13,8
honor,3020,5,4,2,16,android,1,5999,720.0,1440.0,13,5
coolpad,4070,6,8,4,32,android,2,6999,1080.0,1920.0,13,8
panasonic,3250,6,4,3,16,android,2,5709,720.0,1440.0,13,8
nokia,2150,5,4,1,8,android,2,4672,480.0,854.0,5,2
tecno,3050,6,4,3,32,android,2,5930,720.0,1440.0,13,13
ivoomi,3000,5,4,2,16,android,2,4240,640.0,1280.0,13,8
samsung,3300,6,8,3,32,android,2,10990,1080.0,1920.0,13,13
intex,2800,5,4,3,32,android,2,4199,720.0,1280.0,13,5
kult,4000,6,4,3,32,android,2,6899,720.0,1280.0,13,8
infocus,4850,6,8,3,32,android,2,5350,720.0,1280.0,13,5
nuu mobile,3200,6,4,3,32,android,2,4229,720.0,1280.0,8,5
micromax,2900,6,4,3,32,android,2,4991,720.0,1440.0,13,16
lyf,2800,5,4,1,8,android,2,3499,480.0,854.0,5,2
panasonic,4000,5,8,3,32,android,2,9000,720.0,1280.0,13,8
karbonn,2300,5,4,1,8,android,2,3399,720.0,1280.0,5,5
ziox,3000,5,4,1,16,android,2,3499,720.0,1280.0,5,5
infocus,5000,5,4,2,16,android,2,7099,720.0,1280.0,13,5
karbonn,2900,6,4,2,16,android,2,6200,720.0,1280.0,13,5
zopo,2680,5,8,3,32,android,2,7399,1080.0,1920.0,13,13
intex,4020,5,4,3,32,android,2,3999,720.0,1280.0,13,5
micromax,3050,5,4,3,16,android,2,4399,720.0,1280.0,13,5
tecno,4000,6,8,4,32,android,2,8966,1080.0,1920.0,13,16
lava,2620,5,4,2,16,android,2,8920,720.0,1280.0,8,5
vivo,3000,6,8,3,32,android,2,10999,720.0,1280.0,13,16
zopo,3100,6,8,3,32,android,2,6990,1080.0,1920.0,13,8
vivo,2730,5,4,3,16,android,2,10990,1280.0,720.0,13,5
nokia,2630,5,4,2,16,android,2,6900,720.0,1280.0,8,8
intex,3000,5,4,2,16,android,2,8200,720.0,1280.0,13,5
zte,5000,6,8,4,32,android,2,12499,1080.0,1920.0,13,8
panasonic,2500,5,4,3,16,android,2,8440,720.0,1280.0,13,5
coolpad,3050,6,4,2,16,android,3,4590,720.0,1080.0,8,8
coolpad,2500,6,4,3,16,android,2,5990,720.0,1280.0,8,8
gionee,3130,6,8,4,32,android,2,7999,1080.0,1920.0,13,8
panasonic,1800,5,4,2,16,android,2,4899,720.0,1280.0,8,5
vivo,2550,5,8,3,32,android,2,14980,720.0,1280.0,13,8
micromax,2500,6,4,1,8,android,2,3968,720.0,1280.0,8,5
infocus,2300,5,4,2,8,android,2,3740,850.0,480.0,8,5
honor,4000,5,4,2,16,android,2,8556,720.0,1280.0,13,5
karbonn,2600,5,8,2,16,android,2,3999,720.0,1280.0,13,5
lyf,3500,6,8,3,32,android,2,12999,1080.0,1920.0,13,5
onida,2300,5,1,1,8,android,2,5385,720.0,1280.0,8,5
htc,3000,6,8,3,32,android,2,14770,1080.0,1920.0,13,5
intex,2300,5,4,3,16,android,2,6999,720.0,1280.0,13,5
lava,2500,5,4,2,16,android,2,13300,720.0,1280.0,13,8
gionee,2400,5,4,2,16,android,2,10200,720.0,1280.0,8,5
micromax,2500,5,8,2,16,android,2,4799,720.0,1280.0,13,5
vivo,2720,6,8,2,16,android,2,13000,720.0,1280.0,13,5
micromax,2000,5,4,1,8,android,2,6999,480.0,854.0,5,5
panasonic,3500,6,8,2,16,android,2,4500,720.0,1280.0,13,8
karbonn,2200,5,4,2,16,android,2,2999,720.0,1280.0,8,5
infocus,2230,5,4,1,8,android,2,7999,720.0,1280.0,8,2
micromax,2500,5,8,1,8,android,2,6199,720.0,1280.0,13,2
lava,2650,6,4,2,32,android,2,3999,720.0,1280.0,8,5
micromax,3000,6,4,1,8,android,2,9500,540.0,960.0,8,2
sony,2930,5,8,3,32,android,1,34915,1080.0,1920.0,20,5
lg,3000,6,4,1,16,android,2,5999,720.0,1280.0,13,5
intex,1400,4,4,1,8,android,2,3500,480.0,800.0,8,2
micromax,2000,5,4,1,8,android,2,3999,480.0,800.0,8,2
micromax,2000,5,4,1,8,android,2,5999,540.0,960.0,8,2
microsoft,2200,5,4,1,8,windows,2,7000,720.0,1280.0,8,5
htc,2840,5,8,2,16,android,1,11000,1440.0,2560.0,20,4
intex,1700,5,4,2,16,android,2,7500,720.0,1280.0,8,5
karbonn,1900,5,8,1,8,android,2,7800,720.0,1280.0,8,8
blackberry,2800,5,2,2,16,blackberry,1,7200,720.0,1280.0,8,2
asus,2100,5,2,1,8,android,2,5499,480.0,854.0,5,0
lava,2500,5,8,1,8,android,2,8500,720.0,1280.0,8,3
gionee,1950,5,4,1,8,android,2,4150,480.0,854.0,5,2
karbonn,1800,5,4,1,8,android,2,7000,720.0,1280.0,8,5
micromax,3000,5,4,1,8,android,2,5599,720.0,1280.0,8,2
blackberry,2515,4,2,2,16,blackberry,1,13899,720.0,720.0,8,2
intex,4000,5,8,1,8,android,2,4500,480.0,854.0,8,2
gionee,5000,5,4,1,8,android,2,3490,720.0,1280.0,8,2
honor,2000,5,4,1,16,android,2,5999,720.0,1280.0,8,2
gionee,2050,5,8,1,16,android,1,5499,720.0,1280.0,8,5
htc,2600,6,4,1,8,android,2,21990,720.0,1280.0,13,5
lenovo,2300,5,8,2,32,android,2,17499,1080.0,1920.0,13,5
zte,2400,5,4,1,4,android,2,3399,720.0,1280.0,13,5
xolo,2100,5,8,2,16,android,2,5888,720.0,1280.0,13,5
lg,3000,6,4,1,8,android,2,10490,540.0,960.0,13,1
iball,1900,5,8,1,8,android,2,3199,540.0,960.0,8,2
htc,2000,5,8,1,4,android,2,7999,720.0,1280.0,8,2
lg,2540,5,4,1,8,android,1,5999,720.0,1280.0,8,1
xolo,1800,5,4,1,8,windows,2,4495,720.0,1280.0,8,2
sony,2500,5,4,1,8,android,1,18490,720.0,1280.0,8,1
micromax,2000,5,4,1,4,android,2,8999,480.0,800.0,5,2
lava,1800,5,4,1,4,android,2,3632,480.0,854.0,8,2
blackberry,2500,5,2,1,8,blackberry,1,19000,540.0,960.0,5,1
lava,2000,5,4,1,4,android,2,5040,540.0,960.0,8,0
lg,2540,5,4,1,8,android,2,3299,540.0,960.0,8,0
karbonn,2000,5,8,2,16,android,2,12494,1080.0,1920.0,16,8
lenovo,4000,5,4,2,16,android,2,18748,720.0,1280.0,8,1
micromax,1800,5,4,1,4,android,2,6495,720.0,1280.0,8,5
intex,2300,6,8,2,16,android,2,16818,720.0,1280.0,13,5
xolo,4000,6,4,2,16,android,2,18138,1080.0,1920.0,13,5
gionee,1700,4,4,0,4,android,2,7494,480.0,800.0,5,0
nokia,1430,4,2,1,8,windows,1,7500,480.0,800.0,5,0
xolo,2600,6,4,1,8,android,2,14534,720.0,1280.0,13,2
micromax,2000,5,4,2,16,android,2,17490,1080.0,1920.0,13,5
nokia,3400,6,2,1,8,windows,1,9960,720.0,1280.0,5,0
lg,3140,6,2,1,8,android,2,5899,540.0,960.0,8,1
blackberry,2880,5,2,2,16,blackberry,1,8300,720.0,1280.0,8,2
htc,1800,4,4,1,4,android,2,19000,480.0,800.0,8,1
nokia,2000,5,2,0,8,windows,1,4999,480.0,800.0,5,0
xolo,2000,5,4,1,4,android,1,14153,720.0,1280.0,8,2
gionee,1800,5,4,1,16,android,2,6499,720.0,1280.0,8,2
samsung,2330,4,2,1,8,android,1,15990,560.0,960.0,16,1
htc,1860,5,4,1,8,android,2,22500,540.0,960.0,8,1
samsung,1200,3,1,0,3,android,1,3190,240.0,320.0,2,0
samsung,2100,5,2,1,8,android,2,8999,480.0,800.0,8,2
nokia,1200,3,1,0,0,cyanogen,2,4999,240.0,320.0,3,0
nokia,1300,4,1,0,8,windows,1,4990,480.0,800.0,5,0
nokia,1430,4,2,0,8,windows,1,3850,480.0,800.0,5,0
lg,1540,3,1,0,4,android,2,1999,240.0,320.0,3,0
blackberry,1450,2,1,0,1,blackberry,1,6999,240.0,320.0,2,0
coolpad,4000,6,8,4,64,android,1,6999,720.0,1520.0,13,16
ivoomi,3000,6,4,2,16,android,2,4499,720.0,1520.0,13,5
mobiistar,3000,6,8,3,32,android,2,5199,1080.0,1920.0,13,13
comio,2900,6,4,3,32,android,2,6300,1080.0,2160.0,13,8
intex,1400,4,4,1,8,android,2,2590,480.0,800.0,2,0
karbonn,1400,4,4,1,8,android,2,3250,480.0,800.0,2,0
videocon,2000,5,4,2,16,android,2,3999,720.0,1280.0,13,5
ivoomi,3000,5,4,2,16,android,2,3499,720.0,1280.0,8,5
ivoomi,3000,5,4,1,8,android,2,4999,720.0,1280.0,5,5
asus,2650,5,4,2,16,android,2,4599,720.0,1280.0,13,5
intex,2100,5,4,1,8,android,2,6000,720.0,1280.0,8,5
alcatel,2000,5,1,1,8,android,2,2999,480.0,854.0,8,5
reach,2600,6,4,1,8,android,2,2699,540.0,960.0,10,5
karbonn,2250,5,4,2,16,android,2,8649,720.0,1280.0,8,5
infocus,2000,5,4,1,8,android,2,3199,480.0,854.0,5,5
htc,2000,5,8,2,16,android,2,5499,720.0,1280.0,13,5
intex,3000,5,4,2,16,android,2,4444,720.0,1280.0,13,5
htc,2000,5,4,0,4,android,2,2699,480.0,854.0,5,0
xolo,2000,5,4,1,4,android,2,9499,480.0,854.0,5,0
blackberry,1450,3,1,0,1,blackberry,1,7500,360.0,480.0,5,0
zen,2900,6,4,2,16,android,2,3299,480.0,854.0,5,3
samsung,4500,7,8,8,128,android,2,73999,1440.0,3200.0,12,10
samsung,5000,7,8,12,128,android,2,92999,1440.0,3200.0,108,40
xiaomi,5000,6,8,2,32,android,2,6499,720.0,1520.0,13,8
lava,4120,6,4,1,16,android,2,4829,600.0,1280.0,8,5
samsung,3300,7,8,8,256,android,1,174990,1080.0,2636.0,12,10
samsung,4000,6,8,8,128,android,2,66999,1440.0,3200.0,12,10
lava,3200,6,8,2,32,android,2,6299,720.0,1520.0,13,5
nokia,4000,6,4,2,32,android,2,7149,720.0,1520.0,13,5
tecno,6000,6,8,4,64,android,2,8499,720.0,1548.0,13,13
vivo,5000,7,8,4,128,android,2,13990,1080.0,2340.0,16,16
lava,2500,5,4,1,16,android,2,3899,480.0,854.0,5,2
tecno,4000,7,8,4,64,android,2,9960,720.0,1600.0,16,8
micromax,3950,6,8,2,16,android,2,6694,720.0,1560.0,13,5
google,3700,6,8,6,64,android,2,83900,1440.0,3040.0,16,8
google,2800,6,8,6,64,android,2,69500,1080.0,2280.0,16,8
lenovo,4050,6,8,4,64,android,2,10999,720.0,1520.0,13,16
samsung,4500,7,8,6,128,android,1,25999,1080.0,2400.0,64,32
apple,3046,6,6,4,64,ios,2,96900,1125.0,2436.0,12,12
samsung,4000,7,8,3,32,android,2,10999,720.0,1560.0,13,8
oppo,4000,7,8,8,128,android,1,20900,1080.0,2340.0,48,16
samsung,4000,6,8,4,64,android,2,13980,720.0,1560.0,25,16
lava,3500,6,8,3,32,android,2,8099,720.0,1520.0,13,8
htc,3300,6,8,3,32,android,2,7999,720.0,1520.0,12,8
samsung,4000,6,8,2,32,android,2,8499,720.0,1520.0,13,8
huawei,4500,7,8,8,128,android,2,77299,1176.0,2400.0,40,32
samsung,3500,6,8,8,256,android,2,69999,1080.0,2280.0,12,10
tecno,3500,6,8,6,128,android,2,12999,1080.0,2340.0,16,32
lg,4050,6,8,4,64,android,2,12480,720.0,1520.0,13,16
vivo,5000,6,8,3,64,android,2,9550,720.0,1544.0,8,8
itel,2400,5,8,2,16,android,1,4450,720.0,1440.0,8,5
huawei,4000,7,8,4,128,android,2,14450,1080.0,2340.0,16,16
samsung,3700,7,8,8,128,android,2,35990,1080.0,2400.0,48,0
oppo,3765,6,8,8,128,android,2,26990,1080.0,2340.0,48,16
samsung,2600,5,8,1,16,android,2,5290,540.0,960.0,5,5
samsung,4000,6,8,3,32,android,1,9900,720.0,1560.0,13,8
vivo,4030,6,8,2,16,android,2,6799,720.0,1520.0,13,5
panasonic,4000,6,8,4,64,android,2,6488,1080.0,1920.0,13,8
lava,2250,4,4,1,8,android,2,3499,400.0,800.0,2,2
samsung,4380,7,8,12,512,android,2,164999,1536.0,2152.0,16,10
gionee,3000,5,4,2,16,android,1,4488,720.0,1440.0,13,5
tecno,3050,6,4,3,32,android,2,5899,720.0,1440.0,13,8
tecno,3050,6,4,2,32,android,2,5199,720.0,1440.0,13,8
coolpad,3000,6,8,3,32,android,2,4649,720.0,1520.0,8,5
vivo,4030,6,8,2,32,android,2,8349,720.0,1520.0,13,8
itel,2400,5,4,1,8,android,2,3751,480.0,960.0,5,2
oppo,3400,6,8,6,128,android,2,14299,1080.0,2280.0,20,20
10.or,5000,6,8,4,64,android,2,7999,1080.0,2246.0,16,12
xolo,3000,5,4,1,16,android,2,3999,720.0,1440.0,8,5
micromax,4000,6,8,2,32,android,2,5899,720.0,1500.0,13,8
tambo,2100,5,4,1,16,android,2,3790,480.0,960.0,5,5
tambo,2500,5,8,1,8,android,2,3400,480.0,854.0,5,5
meizu,3300,6,8,3,32,android,2,8999,720.0,1440.0,13,8
meizu,3000,5,4,2,16,android,2,3539,720.0,1440.0,13,8
motorola,5000,6,8,3,32,android,2,10870,720.0,1520.0,12,8
motorola,3000,6,8,4,64,android,2,8961,1080.0,2270.0,12,8
itel,4000,5,4,1,8,android,2,3990,480.0,960.0,5,2
vivo,4030,6,8,4,64,android,1,10499,720.0,1520.0,13,20
lava,3000,6,4,2,16,android,2,6999,720.0,1440.0,13,13
vivo,4030,6,8,3,64,android,1,9950,720.0,1580.0,13,8
micromax,5000,5,4,1,16,android,2,4699,720.0,1440.0,5,5
micromax,2000,5,4,1,8,android,2,3099,480.0,854.0,5,2
panasonic,4000,6,8,4,64,android,2,8490,720.0,1500.0,13,8
panasonic,4000,6,8,3,32,android,2,6990,720.0,1500.0,13,8
panasonic,3000,6,4,3,32,android,2,8999,720.0,1440.0,13,5
razer,4000,6,8,8,64,android,1,54990,1440.0,2560.0,12,8
ivoomi,2800,6,4,2,16,android,2,4490,720.0,1498.0,13,5
panasonic,3000,6,8,4,64,android,2,8899,1080.0,2246.0,16,16
intex,2400,5,4,2,16,android,2,6999,720.0,1280.0,8,8
ivoomi,2000,5,4,1,8,android,2,2999,480.0,960.0,5,5
vivo,3315,6,8,6,64,android,2,14229,1080.0,2340.0,16,25
motorola,3000,6,8,4,64,android,1,9490,720.0,1440.0,13,8
htc,3600,6,8,4,64,android,2,12990,1080.0,2160.0,16,13
yu,4000,5,4,2,16,android,2,3999,720.0,1440.0,13,5
homtom,3300,6,8,3,32,android,2,4840,720.0,1440.0,16,8
homtom,3500,6,8,3,32,android,2,4900,720.0,1440.0,13,8
homtom,3000,6,8,2,16,android,2,3749,640.0,1280.0,13,8
lava,2500,5,4,1,16,android,1,4890,720.0,1080.0,5,5
itel,2400,5,4,2,16,android,2,4350,480.0,960.0,5,2
itel,2700,5,4,1,8,android,2,4999,720.0,1440.0,5,5
samsung,3700,6,8,6,64,android,2,20800,1880.0,2220.0,16,24
vivo,3260,6,8,4,64,android,1,13950,720.0,1520.0,13,8
tecno,3050,6,4,2,16,android,2,5899,720.0,1440.0,13,13
tecno,3050,6,4,2,16,android,2,4599,720.0,1440.0,13,8
oppo,3500,6,8,8,128,android,1,17990,1080.0,2280.0,16,25
meizu,3010,6,8,6,64,android,2,19490,1080.0,2160.0,12,20
blackberry,4000,6,8,4,64,android,1,13999,1080.0,2160.0,13,16
samsung,3500,6,8,4,64,android,2,19990,720.0,1480.0,16,16
tecno,4000,6,4,3,32,android,2,8990,720.0,1440.0,13,13
vivo,3285,6,4,2,16,android,1,7500,720.0,1440.0,8,5
alcatel,4000,6,8,3,32,android,1,12999,720.0,1500.0,12,8
intex,3000,5,4,1,8,android,2,3499,480.0,960.0,5,5
intex,2000,5,4,1,8,android,2,3450,480.0,960.0,5,2
oppo,4230,6,8,2,16,android,1,7450,720.0,1520.0,13,8
oppo,4230,6,8,4,32,android,2,8990,720.0,1520.0,13,8
vivo,3225,6,8,4,32,android,1,7994,720.0,1440.0,16,24
samsung,3000,6,8,4,64,android,2,17600,720.0,1480.0,13,8
alcatel,2000,5,4,1,8,android,1,3499,480.0,960.0,5,2
vivo,3260,6,8,3,32,android,2,9790,720.0,1520.0,13,5
panasonic,2400,5,4,1,16,android,2,3899,720.0,1280.0,5,5
lephone,3000,6,4,2,16,android,1,7900,720.0,1440.0,13,5
comio,2500,5,4,1,16,android,2,6499,720.0,1440.0,8,5
ivoomi,2800,5,4,1,8,android,2,2999,480.0,854.0,5,5
lg,3300,6,8,4,64,android,1,16999,1080.0,2160.0,16,5
lg,3300,6,8,3,32,android,1,14999,1080.0,2160.0,16,5
lenovo,4000,5,4,2,16,android,2,5300,720.0,1440.0,13,8
nokia,2990,5,8,2,16,android,1,5994,720.0,1440.0,13,8
aqua,2800,5,4,1,16,android,1,4599,720.0,1280.0,13,5
vivo,3260,6,8,4,32,android,2,10399,720.0,1520.0,13,8
blackberry,3500,5,8,4,64,android,2,19994,1080.0,1620.0,12,8
mobiistar,3000,5,4,2,16,android,2,4294,720.0,1280.0,8,13
micromax,2000,5,4,1,8,android,2,3789,480.0,854.0,5,5
ivoomi,4000,5,4,3,32,android,2,4299,720.0,1440.0,13,8
lg,3000,6,8,4,64,android,1,11849,1080.0,2160.0,16,5
lg,3000,6,8,3,32,android,1,8875,1080.0,2160.0,13,8
htc,3500,6,8,6,64,android,2,74990,1440.0,2880.0,12,8
nokia,3060,6,8,4,32,android,2,6999,1080.0,2280.0,16,16
kult,4000,6,4,3,32,android,2,4378,720.0,1440.0,13,13
samsung,3000,6,4,2,16,android,2,6924,720.0,1280.0,13,5
karbonn,2900,5,4,2,16,android,2,6999,720.0,1280.0,8,8
intex,2800,5,4,3,32,android,2,4999,720.0,1280.0,13,5
